No,Name,Country,Order,Office,Date_of_birth,Age,Date_of_consistory,Pope_of_consistory
1,Pietro Parolin,Italy,CB,Secretary of State of His Holiness,17 January 1955,70,22 February 2014,Francis
2,Fernando Filoni,Italy,CB,Grand Master of the Order of the Holy Sepulchre,15 April 1946,79,18 February 2012,Benedict XVI
3,Luis Antonio Tagle,Philippines,CB,Pro-Prefect of the Dicastery for Evangelization,21 June 1957,67,24 November 2012,Benedict XVI
4,Robert Francis Prevost OSA,United States,CB,Prefect of the Dicastery for Bishops,14 September 1955,69,30 September 2023,Francis
5,Louis Raphaël I Sako,Iraq,CB,"Patriarch of Baghdad
(Chaldean Church)",4 July 1948,76,28 June 2018,Francis
6,Vinko Puljić,Bosnia and Herzegovina,CP,Archbishop emeritus of Vrhbosna,8 September 1945,79,26 November 1994,John Paul II
7,Peter Turkson,Ghana,CP,Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences,11 October 1948,76,21 October 2003,John Paul II
8,Josip Bozanić,Croatia,CP,Archbishop emeritus of Zagreb,20 March 1949,76,21 October 2003,John Paul II
9,Philippe Barbarin,France,CP,Archbishop emeritus of Lyon,17 October 1950,74,21 October 2003,John Paul II
10,Péter Erdő,Hungary,CP,Archbishop of Esztergom–Budapest,25 June 1952,72,21 October 2003,John Paul II
11,Stanisław Ryłko,Poland,CP,Archpriest of the Papal Basilica of Saint Mary Major,4 July 1945,79,24 November 2007,Benedict XVI
12,Francisco Robles Ortega,Mexico,CP,Archbishop of Guadalajara,2 March 1949,76,24 November 2007,Benedict XVI
13,Daniel DiNardo,United States,CP,Archbishop emeritus of Galveston–Houston,23 May 1949,75,24 November 2007,Benedict XVI
14,Odilo Scherer,Brazil,CP,Archbishop of São Paulo,21 September 1949,75,24 November 2007,Benedict XVI
15,Robert Sarah,Guinea,CP,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,15 June 1945,79,20 November 2010,Benedict XVI
16,Raymond Leo Burke,United States,CP,Patron emeritus of the Sovereign Military Order of Malta,30 June 1948,76,20 November 2010,Benedict XVI
17,Kurt Koch,Switzerland,CP,Prefect of the Dicastery for Promoting Christian Unity,15 March 1950,75,20 November 2010,Benedict XVI
18,Kazimierz Nycz,Poland,CP,Archbishop emeritus of Warsaw,1 February 1950,75,20 November 2010,Benedict XVI
19,Malcolm Ranjith,Sri Lanka,CP,Archbishop of Colombo,15 November 1947,77,20 November 2010,Benedict XVI
20,Reinhard Marx,Germany,CP,Archbishop of Munich and Freising and Coordinator of the Council for the Economy,21 September 1953,71,20 November 2010,Benedict XVI
21,João Braz de Aviz,Brazil,CP,Prefect emeritus of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,24 April 1947,77,18 February 2012,Benedict XVI
22,Thomas Collins,Canada,CP,Archbishop emeritus of Toronto,16 January 1947,78,18 February 2012,Benedict XVI
23,Wim Eijk,Netherlands,CP,Archbishop of Utrecht,22 June 1953,71,18 February 2012,Benedict XVI
24,Giuseppe Betori,Italy,CP,Archbishop emeritus of Florence,25 February 1947,78,18 February 2012,Benedict XVI
25,Timothy Dolan,United States,CP,Archbishop of New York,6 February 1950,75,18 February 2012,Benedict XVI
26,Rainer Woelki,Germany,CP,Archbishop of Cologne,18 August 1956,68,18 February 2012,Benedict XVI
27,James Michael Harvey,United States,CP,Archpriest of the Papal Basilica of Saint Paul Outside the Walls,20 October 1949,75,24 November 2012,Benedict XVI
28,Baselios Cleemis,India,CP,"Major Archbishop of Trivandrum
(Syro-Malankara Church)",15 June 1959,65,24 November 2012,Benedict XVI
29,Gerhard Ludwig Müller,Germany,CP,Prefect emeritus of the Congregation for the Doctrine of the Faith,31 December 1947,77,22 February 2014,Francis
30,Vincent Nichols,United Kingdom,CP,Archbishop of Westminster,8 November 1945,79,22 February 2014,Francis
31,Leopoldo Brenes,Nicaragua,CP,Archbishop of Managua,7 March 1949,76,22 February 2014,Francis
32,Gérald Lacroix ISPX,Canada,CP,Archbishop of Quebec,27 July 1957,67,22 February 2014,Francis
33,Jean-Pierre Kutwa,Ivory Coast,CP,Archbishop emeritus of Abidjan,22 December 1945,79,22 February 2014,Francis
34,Orani João Tempesta OCist,Brazil,CP,Archbishop of São Sebastião do Rio de Janeiro,23 June 1950,74,22 February 2014,Francis
35,Mario Aurelio Poli,Argentina,CP,Archbishop emeritus of Buenos Aires,29 November 1947,77,22 February 2014,Francis
36,Philippe Ouédraogo,Burkina Faso,CP,Archbishop emeritus of Ouagadougou,31 December 1945[e],79,22 February 2014,Francis
37,Chibly Langlois,Haiti,CP,Bishop of Les Cayes,29 November 1958,66,22 February 2014,Francis
38,Manuel Clemente,Portugal,CP,Patriarch emeritus of Lisbon,16 July 1948,76,14 February 2015,Francis
39,Berhaneyesus Demerew Souraphiel CM,Ethiopia,CP,"Archbishop of Addis Abeba
(Ethiopian Church)",14 July 1948,76,14 February 2015,Francis
