Source,Target,Weight
Pietro Parolin,Fernando Filoni,4
Pietro Parolin,Luis Antonio Tagle,3
Pietro Parolin,Robert Francis Prevost OSA,4
Pietro Parolin,Louis Raphaël I Sako,3
Pietro Parolin,Vinko Puljić,2
Pietro Parolin,Peter Turkson,1
Pietro Parolin,Josip Bozanić,2
Pietro Parolin,Philippe Barbarin,2
Pietro Parolin,Péter Erdő,2
Pietro Parolin,Stanisław Ryłko,2
Pietro Parolin,Francisco Robles Ortega,1
Pietro Parolin,Daniel DiNardo,1
Pietro Parolin,Odilo Scherer,1
Pietro Parolin,Robert Sarah,1
Pietro Parolin,Raymond Leo Burke,1
Pietro Parolin,Kurt Koch,2
Pietro Parolin,Kazimierz Nycz,2
Pietro Parolin,Malcolm Ranjith,1
Pietro Parolin,Reinhard Marx,2
Pietro Parolin,João Braz de Aviz,1
Pietro Parolin,Thomas Collins,1
Pietro Parolin,Wim Eijk,2
Pietro Parolin,Giuseppe Betori,3
Pietro Parolin,Timothy Dolan,1
Pietro Parolin,Rainer Woelki,3
Pietro Parolin,James Michael Harvey,1
Pietro Parolin,Baselios Cleemis,2
Pietro Parolin,Gerhard Ludwig Müller,4
Pietro Parolin,Vincent Nichols,4
Pietro Parolin,Leopoldo Brenes,3
Pietro Parolin,Gérald Lacroix ISPX,4
Pietro Parolin,Jean-Pierre Kutwa,3
Pietro Parolin,Orani João Tempesta OCist,3
Pietro Parolin,Mario Aurelio Poli,3
Pietro Parolin,Philippe Ouédraogo,3
Pietro Parolin,Chibly Langlois,4
Pietro Parolin,Manuel Clemente,3
Pietro Parolin,Berhaneyesus Demerew Souraphiel CM,2
Pietro Parolin,John Dew,2
Pietro Parolin,Charles Maung Bo SDB,2
Pietro Parolin,Kriengsak Kovitvanit,2
Pietro Parolin,Francesco Montenegro,4
Pietro Parolin,Daniel Sturla SDB,3
Pietro Parolin,Arlindo Gomes Furtado,2
Pietro Parolin,Soane Patita Paini Mafi,3
Pietro Parolin,Dieudonné Nzapalainga CSSp,3
Pietro Parolin,Carlos Osoro Sierra,3
Pietro Parolin,Sérgio da Rocha,3
Pietro Parolin,Blase J. Cupich,2
Pietro Parolin,Jozef De Kesel,3
Pietro Parolin,Carlos Aguiar Retes,2
Pietro Parolin,John Ribat MSC,3
Pietro Parolin,Joseph W. Tobin CSsR,2
Pietro Parolin,Juan José Omella,3
Pietro Parolin,Anders Arborelius OCD,3
Pietro Parolin,Angelo De Donatis,4
